Date,AccountId,Balance
2026-04-30,checking,23182.42
2026-04-30,k401,0
2026-04-30,brokerage,234.54
2026-04-30,roth_ira,1104.53
2026-04-30,student_loan1_principal,-11000
2026-04-06,rsu,140383.66
2026-04-30,student_loan1_interest,-1901.13
2026-04-30,student_loan2_principal,-12000
2026-04-30,student_loan2_interest,-203.44
2026-04-30,student_loan3_principal,-28788
2026-04-30,student_loan3_interest,-6714.35
2026-05-01,student_loan3_principal,-25528.12
2026-05-01,student_loan3_interest,-21.16
2026-05-01,student_loan2_principal,-10917.7
2026-05-01,student_loan2_interest,-4.11
2026-06-23,checking,1695.89
2026-06-23,k401,640.81
2026-06-23,brokerage,241.16
2026-06-23,roth_ira,1110.57
2026-06-23,student_loan1_principal,0
2026-06-23,student_loan1_interest,0
2026-06-23,student_loan2_principal,0
2026-06-23,student_loan2_interest,0
2026-06-23,student_loan3_principal,0
2026-06-23,student_loan3_interest,0
2026-06-23,sofi_loan_principal,-49606.68
2026-07-13,sofi_loan_principal,-37207.63
2026-07-13,sallie_mae_principal,-12000
2026-07-13,sallie_mae_interest,-237.54
2026-07-13,car_loan_principal,-20423.33
2026-07-13,car_loan_interest,0
2026-07-27,sofi_loan_principal,-36417.58
2026-07-27,sofi_loan_interest,-66.35
2026-07-27,checking,397.74
2026-07-27,k401,1260.74
2026-07-27,roth_ira,1112.57
