id,label,sourceAccountId,destinations,amount,frequency,annualRate,annualGrowthRate,volatility,startDate,endDate,annualCap,priority,enabled
salary,Salary,,checking,"{""resolver"":""expression"",""config"":{""expression"":""10845.51""},""inputs"":{}}",monthly,0,0,0,2026-05-29,,,1,true
k401_employee,401(k) Employee,checking,k401,"{""resolver"":""expression"",""config"":{""expression"":""salary * 0.04""},""inputs"":{""salary"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""salary""}}}}",monthly,0,0,0,2026-05-30,,23000,2,true
taxes,Taxes,checking,,"{""resolver"":""expression"",""config"":{""expression"":""salary * 0.22""},""inputs"":{""salary"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""salary""}}}}",monthly,0,0,0,2026-04-30,,,3,true
housing,Housing,checking,,"{""resolver"":""expression"",""config"":{""expression"":""3200""},""inputs"":{}}",monthly,0,0,0,2026-05-01,,,4,true
living,Living,checking,,"{""resolver"":""expression"",""config"":{""expression"":""2400""},""inputs"":{}}",monthly,0,0,0,2026-05-15,,,5,true
k401_match,401(k) Match,,k401,"{""resolver"":""expression"",""config"":{""expression"":""k401_employee * 0.5""},""inputs"":{""k401_employee"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""k401_employee""}}}}",monthly,0,0,0,2026-05-30,,,5,true
student_loan1_interest_charge,Student Loan 1 Interest,student_loan1_interest,,"{""resolver"":""expression"",""config"":{""expression"":""abs(student_loan1_principal) * rate""},""inputs"":{""student_loan1_principal"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""student_loan1_principal""}},""rate"":{""source"":""provider"",""provider"":""occurrence-rate"",""arguments"":{}}}}",monthly,0.03,0,0,2026-04-20,2026-06-22,,6,true
student_loan2_interest_charge,Student Loan 2 Interest,student_loan2_interest,,"{""resolver"":""expression"",""config"":{""expression"":""abs(student_loan2_principal) * rate""},""inputs"":{""student_loan2_principal"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""student_loan2_principal""}},""rate"":{""source"":""provider"",""provider"":""occurrence-rate"",""arguments"":{}}}}",monthly,0.13,0,0,2026-04-21,2026-06-22,,6,true
student_loan3_interest_charge,Student Loan 3 Interest,student_loan3_interest,,"{""resolver"":""expression"",""config"":{""expression"":""abs(student_loan3_principal) * rate""},""inputs"":{""student_loan3_principal"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""student_loan3_principal""}},""rate"":{""source"":""provider"",""provider"":""occurrence-rate"",""arguments"":{}}}}",monthly,0.15,0,0,2026-04-22,2026-06-22,,6,true
student_loan1_payment,Student Loan 1 Payment,checking,student_loan1_interest;student_loan1_principal,"{""resolver"":""expression"",""config"":{""expression"":""92""},""inputs"":{}}",monthly,0,0,0,2026-04-20,2026-06-22,,7,true
student_loan2_payment,Student Loan 2 Payment,checking,student_loan2_interest;student_loan2_principal,"{""resolver"":""expression"",""config"":{""expression"":""175""},""inputs"":{}}",monthly,0,0,0,2026-04-21,2026-06-22,,8,true
student_loan3_payment,Student Loan 3 Payment,checking,student_loan3_interest;student_loan3_principal,"{""resolver"":""expression"",""config"":{""expression"":""517""},""inputs"":{}}",monthly,0,0,0,2026-04-22,2026-06-22,,9,true
k401_growth,401(k) Growth,,k401,"{""resolver"":""expression"",""config"":{""expression"":""k401 * rate""},""inputs"":{""k401"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""k401""}},""rate"":{""source"":""provider"",""provider"":""occurrence-rate"",""arguments"":{}}}}",monthly,0.07,0,0.15,2026-05-30,,,20,true
brokerage_growth,Brokerage Growth,,brokerage,"{""resolver"":""expression"",""config"":{""expression"":""brokerage * rate""},""inputs"":{""brokerage"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""brokerage""}},""rate"":{""source"":""provider"",""provider"":""occurrence-rate"",""arguments"":{}}}}",monthly,0.08,0,0.18,2026-04-28,,,20,true
roth_ira_growth,Roth IRA Growth,,roth_ira,"{""resolver"":""expression"",""config"":{""expression"":""roth_ira * rate""},""inputs"":{""roth_ira"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""roth_ira""}},""rate"":{""source"":""provider"",""provider"":""occurrence-rate"",""arguments"":{}}}}",monthly,0.03,0,0,2026-04-28,,,20,true
brokerage_auto,Brokerage Auto,checking,brokerage,"{""resolver"":""expression"",""config"":{""expression"":""(salary - k401_employee - taxes) * 0.1""},""inputs"":{""salary"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""salary""}},""k401_employee"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""k401_employee""}},""taxes"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""taxes""}}}}",monthly,0,0,0,2026-04-28,,,10,true
sofi_loan_interest_charge,SoFi Loan Interest,sofi_loan_interest,,"{""resolver"":""expression"",""config"":{""expression"":""abs(sofi_loan_principal) * rate""},""inputs"":{""sofi_loan_principal"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""sofi_loan_principal""}},""rate"":{""source"":""provider"",""provider"":""occurrence-rate"",""arguments"":{}}}}",monthly,0.0475,0,0,2026-07-13,,,6,true
sofi_loan_payment,SoFi Loan Payment,checking,sofi_loan_interest;sofi_loan_principal,"{""resolver"":""expression"",""config"":{""expression"":""1000""},""inputs"":{}}",monthly,0,0,0,2026-07-13,,,7,true
sallie_mae_interest_charge,Sallie Mae Interest,sallie_mae_interest,,"{""resolver"":""expression"",""config"":{""expression"":""abs(sallie_mae_principal) * rate""},""inputs"":{""sallie_mae_principal"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""sallie_mae_principal""}},""rate"":{""source"":""provider"",""provider"":""occurrence-rate"",""arguments"":{}}}}",monthly,0.0399,0,0,2026-07-13,,,6,true
sallie_mae_payment,Sallie Mae Payment,checking,sallie_mae_interest;sallie_mae_principal,"{""resolver"":""expression"",""config"":{""expression"":""247.95""},""inputs"":{}}",monthly,0,0,0,2026-07-13,,,7,true
car_loan_interest_charge,Car Loan Interest,car_loan_interest,,"{""resolver"":""expression"",""config"":{""expression"":""abs(car_loan_principal) * rate""},""inputs"":{""car_loan_principal"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""car_loan_principal""}},""rate"":{""source"":""provider"",""provider"":""occurrence-rate"",""arguments"":{}}}}",monthly,0.0689,0,0,2026-07-13,,,6,true
car_loan_payment,Car Loan Payment,checking,car_loan_interest;car_loan_principal,"{""resolver"":""expression"",""config"":{""expression"":""403.35""},""inputs"":{}}",monthly,0,0,0,2026-07-13,,,7,true
rsu_vest_1,RSU Vest 1,rsu,rsu_vested,"{""resolver"":""expression"",""config"":{""expression"":""rsu * 0.05""},""inputs"":{""rsu"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""rsu""}}}}",monthly,0,0,0,2027-04-06,2027-04-06,,15,true
rsu_vest_2,RSU Vest 2,rsu,rsu_vested,"{""resolver"":""expression"",""config"":{""expression"":""rsu * 15 / 95""},""inputs"":{""rsu"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""rsu""}}}}",monthly,0,0,0,2028-04-06,2028-04-06,,15,true
rsu_vest_3,RSU Vest 3,rsu,rsu_vested,"{""resolver"":""expression"",""config"":{""expression"":""rsu * 20 / 80""},""inputs"":{""rsu"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""rsu""}}}}",monthly,0,0,0,2028-10-06,2028-10-06,,15,true
rsu_vest_4,RSU Vest 4,rsu,rsu_vested,"{""resolver"":""expression"",""config"":{""expression"":""rsu * 20 / 60""},""inputs"":{""rsu"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""rsu""}}}}",monthly,0,0,0,2029-04-06,2029-04-06,,15,true
rsu_vest_5,RSU Vest 5,rsu,rsu_vested,"{""resolver"":""expression"",""config"":{""expression"":""rsu * 20 / 40""},""inputs"":{""rsu"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""rsu""}}}}",monthly,0,0,0,2029-10-06,2029-10-06,,15,true
rsu_vest_6,RSU Vest 6,rsu,rsu_vested,"{""resolver"":""expression"",""config"":{""expression"":""rsu * 20 / 20""},""inputs"":{""rsu"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""rsu""}}}}",monthly,0,0,0,2030-04-06,2030-04-06,,15,true
rsu_growth,RSU Growth,,rsu,"{""resolver"":""expression"",""config"":{""expression"":""rsu * rate""},""inputs"":{""rsu"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""rsu""}},""rate"":{""source"":""provider"",""provider"":""occurrence-rate"",""arguments"":{}}}}",monthly,0.1,0,0.3,2026-04-06,,,20,true
rsu_vested_growth,RSU Vested Growth,,rsu_vested,"{""resolver"":""expression"",""config"":{""expression"":""rsu_vested * rate""},""inputs"":{""rsu_vested"":{""source"":""provider"",""provider"":""model-value"",""arguments"":{""id"":""rsu_vested""}},""rate"":{""source"":""provider"",""provider"":""occurrence-rate"",""arguments"":{}}}}",monthly,0.1,0,0.3,2026-04-06,,,20,true
opening_20260406_rsu,Opening RSU balance,,rsu,"{""resolver"":""expression"",""config"":{""expression"":""140383.66""},""inputs"":{}}",once,0,0,0,2026-04-06,,,1,true
opening_20260430_checking,Opening checking balance,,checking,"{""resolver"":""expression"",""config"":{""expression"":""23182.42""},""inputs"":{}}",once,0,0,0,2026-04-30,,,1,true
opening_20260430_brokerage,Opening brokerage balance,,brokerage,"{""resolver"":""expression"",""config"":{""expression"":""234.54""},""inputs"":{}}",once,0,0,0,2026-04-30,,,1,true
opening_20260430_roth_ira,Opening Roth IRA balance,,roth_ira,"{""resolver"":""expression"",""config"":{""expression"":""1104.53""},""inputs"":{}}",once,0,0,0,2026-04-30,,,1,true
opening_20260430_student_loan1_principal,Opening student loan 1 principal,student_loan1_principal,,"{""resolver"":""expression"",""config"":{""expression"":""11000""},""inputs"":{}}",once,0,0,0,2026-04-30,,,1,true
opening_20260430_student_loan1_interest,Opening student loan 1 interest,student_loan1_interest,,"{""resolver"":""expression"",""config"":{""expression"":""1901.13""},""inputs"":{}}",once,0,0,0,2026-04-30,,,1,true
opening_20260430_student_loan2_principal,Opening student loan 2 principal,student_loan2_principal,,"{""resolver"":""expression"",""config"":{""expression"":""12000""},""inputs"":{}}",once,0,0,0,2026-04-30,,,1,true
opening_20260430_student_loan2_interest,Opening student loan 2 interest,student_loan2_interest,,"{""resolver"":""expression"",""config"":{""expression"":""203.44""},""inputs"":{}}",once,0,0,0,2026-04-30,,,1,true
opening_20260430_student_loan3_principal,Opening student loan 3 principal,student_loan3_principal,,"{""resolver"":""expression"",""config"":{""expression"":""28788""},""inputs"":{}}",once,0,0,0,2026-04-30,,,1,true
opening_20260430_student_loan3_interest,Opening student loan 3 interest,student_loan3_interest,,"{""resolver"":""expression"",""config"":{""expression"":""6714.35""},""inputs"":{}}",once,0,0,0,2026-04-30,,,1,true
adjustment_20260501_student_loan3_principal,Student loan 3 principal adjustment,,student_loan3_principal,"{""resolver"":""expression"",""config"":{""expression"":""3259.88""},""inputs"":{}}",once,0,0,0,2026-05-01,,,1,true
adjustment_20260501_student_loan3_interest,Student loan 3 interest adjustment,,student_loan3_interest,"{""resolver"":""expression"",""config"":{""expression"":""6693.19""},""inputs"":{}}",once,0,0,0,2026-05-01,,,1,true
adjustment_20260501_student_loan2_principal,Student loan 2 principal adjustment,,student_loan2_principal,"{""resolver"":""expression"",""config"":{""expression"":""1082.3""},""inputs"":{}}",once,0,0,0,2026-05-01,,,1,true
adjustment_20260501_student_loan2_interest,Student loan 2 interest adjustment,,student_loan2_interest,"{""resolver"":""expression"",""config"":{""expression"":""199.33""},""inputs"":{}}",once,0,0,0,2026-05-01,,,1,true
adjustment_20260623_checking,Checking balance adjustment,checking,,"{""resolver"":""expression"",""config"":{""expression"":""21486.53""},""inputs"":{}}",once,0,0,0,2026-06-23,,,1,true
adjustment_20260623_k401,401(k) balance adjustment,,k401,"{""resolver"":""expression"",""config"":{""expression"":""640.81""},""inputs"":{}}",once,0,0,0,2026-06-23,,,1,true
adjustment_20260623_brokerage,Brokerage balance adjustment,,brokerage,"{""resolver"":""expression"",""config"":{""expression"":""6.62""},""inputs"":{}}",once,0,0,0,2026-06-23,,,1,true
adjustment_20260623_roth_ira,Roth IRA balance adjustment,,roth_ira,"{""resolver"":""expression"",""config"":{""expression"":""6.04""},""inputs"":{}}",once,0,0,0,2026-06-23,,,1,true
adjustment_20260623_student_loan1_principal,Student loan 1 principal adjustment,,student_loan1_principal,"{""resolver"":""expression"",""config"":{""expression"":""11000""},""inputs"":{}}",once,0,0,0,2026-06-23,,,1,true
adjustment_20260623_student_loan1_interest,Student loan 1 interest adjustment,,student_loan1_interest,"{""resolver"":""expression"",""config"":{""expression"":""1901.13""},""inputs"":{}}",once,0,0,0,2026-06-23,,,1,true
adjustment_20260623_student_loan2_principal,Student loan 2 principal adjustment,,student_loan2_principal,"{""resolver"":""expression"",""config"":{""expression"":""10917.7""},""inputs"":{}}",once,0,0,0,2026-06-23,,,1,true
adjustment_20260623_student_loan2_interest,Student loan 2 interest adjustment,,student_loan2_interest,"{""resolver"":""expression"",""config"":{""expression"":""4.11""},""inputs"":{}}",once,0,0,0,2026-06-23,,,1,true
adjustment_20260623_student_loan3_principal,Student loan 3 principal adjustment,,student_loan3_principal,"{""resolver"":""expression"",""config"":{""expression"":""25528.12""},""inputs"":{}}",once,0,0,0,2026-06-23,,,1,true
adjustment_20260623_student_loan3_interest,Student loan 3 interest adjustment,,student_loan3_interest,"{""resolver"":""expression"",""config"":{""expression"":""21.16""},""inputs"":{}}",once,0,0,0,2026-06-23,,,1,true
opening_20260623_sofi_loan_principal,Opening SoFi loan principal,sofi_loan_principal,,"{""resolver"":""expression"",""config"":{""expression"":""49606.68""},""inputs"":{}}",once,0,0,0,2026-06-23,,,1,true
adjustment_20260713_sofi_loan_principal,SoFi loan principal adjustment,,sofi_loan_principal,"{""resolver"":""expression"",""config"":{""expression"":""12399.05""},""inputs"":{}}",once,0,0,0,2026-07-13,,,1,true
opening_20260713_sallie_mae_principal,Opening Sallie Mae principal,sallie_mae_principal,,"{""resolver"":""expression"",""config"":{""expression"":""12000""},""inputs"":{}}",once,0,0,0,2026-07-13,,,1,true
opening_20260713_sallie_mae_interest,Opening Sallie Mae interest,sallie_mae_interest,,"{""resolver"":""expression"",""config"":{""expression"":""237.54""},""inputs"":{}}",once,0,0,0,2026-07-13,,,1,true
opening_20260713_car_loan_principal,Opening car loan principal,car_loan_principal,,"{""resolver"":""expression"",""config"":{""expression"":""20423.33""},""inputs"":{}}",once,0,0,0,2026-07-13,,,1,true
adjustment_20260727_sofi_loan_principal,SoFi loan principal adjustment,,sofi_loan_principal,"{""resolver"":""expression"",""config"":{""expression"":""790.05""},""inputs"":{}}",once,0,0,0,2026-07-27,,,1,true
opening_20260727_sofi_loan_interest,Opening SoFi loan interest,sofi_loan_interest,,"{""resolver"":""expression"",""config"":{""expression"":""66.35""},""inputs"":{}}",once,0,0,0,2026-07-27,,,1,true
adjustment_20260727_checking,Checking balance adjustment,checking,,"{""resolver"":""expression"",""config"":{""expression"":""1298.15""},""inputs"":{}}",once,0,0,0,2026-07-27,,,1,true
adjustment_20260727_k401,401(k) balance adjustment,,k401,"{""resolver"":""expression"",""config"":{""expression"":""619.93""},""inputs"":{}}",once,0,0,0,2026-07-27,,,1,true
adjustment_20260727_roth_ira,Roth IRA balance adjustment,,roth_ira,"{""resolver"":""expression"",""config"":{""expression"":""2""},""inputs"":{}}",once,0,0,0,2026-07-27,,,1,true
